"pk_evenement","eff","date"
1,2,"1973-05-18"
7,3,"1973-05-24"
2,4,"1973-05-25"
6,2,"1973-05-28"
8,1,"1973-05-29"
9,1,"1973-06-10"
10,4,"1973-06-12"
11,3,"1973-06-13"
13,4,"1973-06-20"
14,3,"1973-06-20"
15,3,"1973-06-21"
16,11,"1973-06-23"
17,11,"1973-06-23"
18,3,"1973-06-27"
20,3,"1973-08-14"
21,7,"1973-08-16"
22,5,"1973-08-17"
23,5,"1973-08-17"
24,15,"1973-08-18"
25,4,"1973-08-22"
26,6,"1973-08-23"
27,2,"1973-08-24"
28,2,"1973-08-31"
29,4,"1973-09-05"
30,10,"1973-09-29"
32,1,"1973-10-19"
33,1,"1973-10-25"
