"year","form","event_count"
"1975","collection of signatures campaign, petition",4
"1975","demonstration, protest march",30
"1975",other demonstrative forms,1
"1975",other illegal and violent confrontational forms,1
"1975",other symbolic/ludic non-confrontational forms,3
"1975",party with political meaning,4
"1975",protest camp,1
"1975",protest meeting,5
"1975",squatting,3
"1976",blockade or other forms of blocking,1
"1976","collection of signatures campaign, petition",11
"1976",criminal fire aimed at objects,1
"1976","demonstration, protest march",16
"1976",hunger strike,2
"1976",party with political meaning,2
"1976",protest meeting,1
"1976",squatting,4
"1976",violence against persons,1
"1977","collection of signatures campaign, petition",12
"1977",criminal fire aimed at objects,2
"1977","demonstration, protest march",28
"1977",illegal demonstration,1
"1977",other demonstrative forms,2
"1977",other symbolic/ludic non-confrontational forms,1
"1977",party with political meaning,6
"1977",protest meeting,3
"1977",squatting,3
"1978",blockade or other forms of blocking,1
"1978",bomb threat,1
"1978","collection of signatures campaign, petition",1
"1978",criminal fire aimed at objects,2
"1978","demonstration, protest march",25
"1978",hunger strike,4
"1978",other demonstrative forms,2
"1978",other illegal and violent confrontational forms,1
"1978",other illegal confrontational forms,1
"1978",party with political meaning,5
"1978",perturbation of demonstrations,1
"1978",protest meeting,1
"1978",squatting,1
"1979","collection of signatures campaign, petition",6
"1979",criminal fire aimed at objects,5
"1979","demonstration, protest march",26
"1979",party with political meaning,5
"1979",protest meeting,1
"1979",squatting,2
"1980","collection of signatures campaign, petition",18
"1980",collection on behalf of a group in a political conflict,2
"1980",criminal fire aimed at objects,4
"1980",demonstration with violence,25
"1980","demonstration, protest march",52
"1980",hunger strike,2
"1980",illegal demonstration,1
"1980",illegal non-cooperation,1
"1980",limited destruction of objects,5
"1980",other demonstrative forms,1
"1980",other illegal and violent confrontational forms,2
"1980",other illegal confrontational forms,3
"1980",other symbolic/ludic non-confrontational forms,3
"1980",party with political meaning,8
"1980",protest meeting,13
"1980",squatting,10
"1980",symbolic violence against persons,2
"1980",violence against persons,1
"1981","collection of signatures campaign, petition",5
"1981",criminal fire aimed at objects,12
"1981",demonstration with violence,18
"1981","demonstration, protest march",54
"1981",hunger strike,1
"1981",illegal demonstration,6
"1981",limited destruction of objects,6
"1981",other demonstrative forms,6
"1981",other illegal and violent confrontational forms,1
"1981",other illegal confrontational forms,1
"1981",other symbolic/ludic non-confrontational forms,2
"1981",party with political meaning,6
"1981",perturbation of demonstrations,2
"1981",protest meeting,7
"1981",squatting,19
"1981",symbolic violence against persons,1
"1981",symbolic/ludic confrontational actions,2
"1981",threat against persons,1
"1981",violence against persons,4
"1982",boycott,1
"1982","collection of signatures campaign, petition",6
"1982",collection on behalf of a group in a political conflict,1
"1982",criminal fire aimed at objects,9
"1982",demonstration with violence,7
"1982","demonstration, protest march",39
"1982",hunger strike,1
"1982",illegal demonstration,3
"1982",limited destruction of objects,1
"1982",other demonstrative forms,5
"1982",other illegal and violent confrontational forms,1
"1982",other illegal confrontational forms,2
"1982",other symbolic/ludic non-confrontational forms,1
"1982",party with political meaning,5
"1982",perturbation of demonstrations,1
"1982",protest meeting,4
"1982",refusal to pay the taxes or other payments,1
"1982",squatting,8
"1982",symbolic violence against objects,1
"1982",violence against persons,1
"1983",boycott,1
"1983","collection of signatures campaign, petition",5
"1983",collection on behalf of a group in a political conflict,1
"1983",criminal fire aimed at objects,5
"1983",demonstration with violence,3
"1983","demonstration, protest march",30
"1983",limited destruction of objects,1
"1983",other demonstrative forms,8
"1983",other symbolic/ludic non-confrontational forms,5
"1983",party with political meaning,4
"1983",perturbation of demonstrations,2
"1983",protest letters campaign,1
"1983",protest meeting,1
"1983",squatting,6
"1983",symbolic violence against objects,1
"1984","collection of signatures campaign, petition",5
"1984",criminal fire aimed at objects,1
"1984",demonstration with violence,1
"1984","demonstration, protest march",28
"1984",hunger strike,1
"1984",illegal demonstration,1
"1984",limited destruction of objects,4
"1984",other demonstrative forms,4
"1984",other illegal confrontational forms,1
"1984",other symbolic/ludic non-confrontational forms,1
"1984",party with political meaning,5
"1984",protest meeting,2
"1984",squatting,2
"1984",symbolic violence against objects,2
"1985",blockade or other forms of blocking,1
"1985","collection of signatures campaign, petition",3
"1985",collection on behalf of a group in a political conflict,1
"1985",criminal fire aimed at objects,2
"1985",demonstration with violence,2
"1985","demonstration, protest march",26
"1985",hunger strike,3
"1985",illegal demonstration,1
"1985",other demonstrative forms,7
"1985",other illegal confrontational forms,2
"1985",other symbolic/ludic non-confrontational forms,1
"1985",party with political meaning,8
"1985",protest meeting,2
"1985",squatting,3
"1985",violence against persons,1
"1986",blockade or other forms of blocking,1
"1986",bomb threat,1
"1986","collection of signatures campaign, petition",6
"1986","demonstration, protest march",43
"1986",limited destruction of objects,1
"1986",other demonstrative forms,7
"1986",other symbolic/ludic non-confrontational forms,1
"1986",party with political meaning,2
"1986",perturbation of demonstrations,1
"1986",protest meeting,1
"1986",squatting,4
"1986",symbolic violence against objects,1
"1987",blockade or other forms of blocking,1
"1987",bomb threat,1
"1987",boycott,1
"1987","collection of signatures campaign, petition",8
"1987",criminal fire aimed at objects,5
"1987",demonstration with violence,5
"1987","demonstration, protest march",43
"1987",hunger strike,3
"1987",illegal demonstration,2
"1987",other demonstrative forms,7
"1987",other illegal and violent confrontational forms,1
"1987",other illegal confrontational forms,1
"1987",other symbolic/ludic non-confrontational forms,2
"1987",party with political meaning,3
"1987",protest meeting,3
"1987",squatting,7
"1988",boycott,1
