"pk_evenement","nom_evenement","date","nombre_personnes","type","nom_lieu","ville","pays","latitude","longitude"
1,manifestation des ouvrier-ère-s de Lip,"1973-05-18","200",manifestation de rue,Place du Port,Neuchâtel,Suisse,46.99188006348184,6.9343458441569386
2,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-05-25","60",meeting,Cercle des Travailleurs,Neuchâtel,Suisse,46.99320982097671,6.930432108830188
3,manifestation des ouvrier-ère-s de Lip,"1973-05-18","100",manifestation de rue,Morteau,Morteau,France,47.05768749590493,6.603599220502514
4,manifestation des ouvrier-ère-s de Lip,"1973-05-18","100",manifestation de rue,Villers-le-Lac,Villers-le-Lac,France,47.0592181584143,6.6687195240033414
5,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-18","500",manifestation statique,Consulat suisse,Besançon,France,47.235007202022054,6.038661626981228
6,regroupement devant le siège d'Ebauches S.A,"1973-05-28","50",manifestation statique,Place de l'Hôtel communal,Neuchâtel,Suisse,46.991923467493116,6.931205948736114
7,première manifestation publique en solidarité aux ouvrier-ère-s de Lip,"1973-05-24","5000",manifestation de rue,Place Saint-Pierre,Besançon,France,47.23796264126725,6.024281645694291
8,manifestation des ouvrier-ère-s de Lip jusqu'à l'ambassade suisse,"1973-05-29","550",manifestation de rue,Porte d'Italie,Paris,France,48.81888822402997,2.359906776271288
10,regroupement devant l'usine Lip des ouvrier-ère-s de Lip,"1973-06-12","1000",manifestation statique,Usine Lip,Besançon,France,47.26649065218147,6.050844610052359
11,meeting des responsables des ouvrier-ère-s de Lip,"1973-06-13","10",meeting,Usine Lip,Besançon,France,47.26649065218147,6.050844610052359
12,manifestation « ville morte »,"1973-06-15","10000",manifestation de rue,Place Battant,Besançon,France,47.24416774529365,6.020837181229862
13,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-06-20","16",meeting,Maison du Peuple,Saint-Imier,Suisse,47.152135947796985,6.996678263848151
14,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-06-20",,meeting,Café Saint-Gervais,Bienne/Biel,Suisse,47.1421580409844,7.2473929343895405
15,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-06-21","50",meeting,Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
16,manifestation internationale,"1973-06-23","700",manifestation de rue,Place de la Gare,La Chaux-de-Fonds,Suisse,47.0993823351441,6.825140016714371
17,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-06-23","500",meeting,Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
18,assemblée d’information à l'intention des ouvrier-ère-s chaux-de-fonniers,"1973-06-27",,meeting,Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
20,manifestation en solidarité aux ouvrier-ère-s de Lip,"1973-08-14","12000",manifestation de rue,Usine Lip,Besançon,France,47.26649065218147,6.050844610052359
21,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-08-16",,meeting,Canton du Jura,,Suisse,47.36721491201862,7.34745523932586
22,manifestation en solidarité aux ouvrier-ère-s de Lip,"1973-08-17","500",manifestation statique,Place de la Gare,La Chaux-de-Fonds,Suisse,47.0993823351441,6.825140016714371
24,manifestation en solidarité aux ouvrier-ère-s de Lip,"1973-08-18","300",manifestation de rue,Place de la Gare,Bienne/Biel,Suisse,47.13341613455254,7.242944479733647
25,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-08-22","500",meeting,Salle communale de Plainpalais,Genève,Suisse,46.194420660724404,6.143669295748282
26,meeting en solidarité aux touvrier-ère-s de Lip,"1973-08-23","700",meeting,Salle des 22-Cantons,Lausanne,Suisse,46.517263914958384,6.627895088107318
27,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-08-24","200",meeting,Delémont,Delémont,Suisse,47.36721491201862,7.347455239325865
28,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-08-31","700",meeting,Volkshaus,Zürich,Suisse,47.37612984091458,8.527413949722506
29,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-09-05","100",meeting,Hôtel du Soleil,Delémont,Suisse,47.36721491201862,7.34745523932586
30,marche sur Besançon,"1973-09-29","100000",manifestation de rue,Châteaufarine,Besançon,France,47.21588783150247,5.949602214449405
32,film-meeting en solidarité aux ouvrier-ère-s de Lip,"1973-10-19",,film-meeting,Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
33,film-meeting en solidarité aux ouvrier-ère-s de Lip,"1973-10-25",,film-meeting,Buffet de la gare,Neuchâtel,Suisse,46.997008674157755,6.936019573012888
34,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-10","100",manifestation statique,Consulat suisse,Besançon,France,47.235007202022054,6.038661626981228
35,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-29",,manifestation statique,Consulat suisse,Besançon,France,47.235007202022054,6.038661626981228
36,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-08-20",,meeting,Moutier,Moutier,Suisse,47.28658883558973,7.279305303399486
37,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-09-26","25",meeting,Maison du peuple,Bienne/Biel,Suisse,47.13457637493075,7.24348182209114
